Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
157659344260788,จุรินทร์ ลักษณวิศิษฏ์ Aoodda,Ruthaikan Tanomkerd,7212,12
161651553861945,Amnesty International Thailand,Amnesty International Thailand,7179,2
296508406790,"Democrat Party, Thailand พรรคประชาธิปัตย์","Democrat Party, Thailand พรรคประชาธิปัตย์",4064,34
100240152175449,ป้าโส FC by Tacina,Dunyawat  Bamrungchan,3945,70
102807719039442,พรรครวมไทยสร้างชาติ United Thai Nation Party,พรรครวมไทยสร้างชาติ United Thai Nation Party,3037,1
105421542338383,ไทม์ ดุลยวัฒน์ - หัวใจสีฟ้า,Dunyawat  Bamrungchan,2853,15
101274425792459,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,กิตติพงศ์ รวยฟูพันธ์ - ส.ก.ไอซ์ เขตทุ่งครุ,2541,6
101535845426970,พรรคไทยสร้างไทย,พรรคไทยสร้างไทย,2085,9
105289357813967,ปุณณ์สิริ บุณยเกียรติ - บีท - Punsiri Boonyakiat,ปุณณ์สิริ บุณยเกียรติ - บีท - Punsiri Boonyakiat,1198,5
105347558390671,นริสสร แสงแก้ว,Attaporn Pohkaew,1149,4
972019486321939,บู้ จเด็ศ จันทรา,จเด็ด จันทรา,959,2
345127652279503,มูลนิธิสากลเพื่อคนพิการ,มูลนิธิสากลเพื่อคนพิการ,891,2
1639146799524292,Omi,These ads ran without a disclaimer,799,1
102721728305247,ทีมภูเก็ตหยัดได้,ทีมภูเก็ตหยัดได้,772,3
100530401779420,พรรคไทยภักดี,พรรคไทยภักดี,743,6
104427797605274,ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์,734,15
103943018154038,บุญสืบ จันทร์แจ่มศรี ปุ๊,บุญสืบ จันทร์แจ่มศรี,723,5
279457458842476,InnovestX,These ads ran without a disclaimer,687,6
112969264517494,เพ็ญพิสุทธิ์ จินตโสภณ - Penpisut Jintasophon,Vatcharapong Wongkom,523,3
1635406246730420,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,วรงค์ เดชกิจวิกรม - Warong Dechgitvigrom,505,2
108508377637861,มุ้งจีบพระราม2 โรงงานผลิตมุ้งจีบ มุ้งลวด เหล็ดดัดทุกชนิด,กุหลาบ บัวสด,494,1
368356080442700,กำนันพงษ์ศักดิ์ จ่าแก้ว - คนรักสุราษฎร์,Chadapon Maksuwan,427,9
107449532000210,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,ธิติวัฐ อดิศรพันธ์กุล - Thitiwat Adisornphankul,369,3
102250712237397,สรุปกฎหมาย ก.พ. by Short Note,These ads ran without a disclaimer,318,2
115922723434700,ครูเจพีสรุปย่อ for Teacher,Wimonrat Noyyangdang,315,3
626952517700280,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,ลิ้ม ศรัณยสัณฑ์ วีรกุลสุนทร ว่าที่ผู้สมัคร ส.ส. เขตจอมทอง พรรคเพื่อไทย,314,2
985820164804495,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,298,6
101372342567471,ต้นกล้า จรยุทธ จตุรพรประสิทธิ์ - TonKla Chorayuth Chaturapornprasit,Chorayuth Chaturapornprasit,286,2
567743816917663,The Article,The Article,268,7
414100949350619,ณัฐนันท์ กัลยาศิริ - ทนายบอน,ณัฐนันท์ กัลยาศิริ,260,1
103668907891539,การเมือง Kanmuang,การเมือง Kanmuang,242,2
107612328588715,The Voters,สันติสุข กาญจนประกร,242,20
241115389300595,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,239,1
101959916080752,อาจารย์มังตา-มนต์ขลังเขมรชั้นครู,These ads ran without a disclaimer,227,3
111341764925564,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,สำนักสนับสนุนการพัฒนาระบบสุขภาพ - สำนัก 7 สสส.,224,4
234345809961492,ส.ส.จ๋า วชิราภรณ์ กาญจนะ,ส.ส.จ๋า วชิราภรณ์ กาญจนะ,223,3
530945957405983,Nitipon Piwmow - นิติพล ผิวเหมาะ,Nitipon Piwmow,202,1
467424870040934,ปกรณ์ อารีกุล,ปกรณ์ อารีกุล,201,1
174674890018644,นายเดชอิศม์ ขาวทอง นายกชาย,Phetai Sretrairat,201,3
100849715387866,รักนาเดิม,รักนาเดิม,183,1
102760714981774,สุภาพร กำเนิดผล,สุภาพร กำเนิดผล,160,3
102264295456894,Sirin Sanguansin - สิริน สงวนสิน,Lidear Nunarnan,150,1
111314055092654,Kaizen,These ads ran without a disclaimer,128,1
494189467277672,Agenda,บริษัท ดิ อาเจนด้า จำกัด,127,1
106561034744198,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,ลอรี่ - พงศ์พล ยอดเมืองเจริญ,122,2
100340359064602,ธนชาต ศรีเปารยะ - Thanachart Sripaurya,Thanachart Sripaurya,115,1
104134765098843,ทศพล โชติคุตร์ - ผกก.หนุ่ย,ทศพล โชติคุตร์ - ผกก.หนุ่ย,102,1
107535498701936,ธาม สมุทรานนท์ - Tharm Smuthranond,Yonlapat Wangsarn,≤100,1
379725072797606,พลังประชารัฐภูเก็ต ส.ส.นัทธี ถิ่นสาคู,พลังประชารัฐภูเก็ต ส.ส.นัทธี ถิ่นสาคู,≤100,1
102869035843440,อนุชา ขวัญคาวิน เพื่อไทยนครศรีฯ เขต1,อนุชา ขวัญคาวิน เพื่อไทยนครศรีฯ เขต1,≤100,1
277320192288594,โอม จิรชาติ,โอม จิรชาติ,≤100,2
190923294988741,สอบครูผู้ช่วยนะ,สอบครูผู้ช่วยนะ,≤100,2
204862942932993,Nikkei Asia,These ads ran without a disclaimer,≤100,6
1245787372170126,Somboonpattana Stainless Kitchen ผลิตและติดตั้งครัวสแตนเลสครบวงจร,These ads ran without a disclaimer,≤100,1
601953326929372,ธัญวัจน์ กมลวงศ์วัฒน์ - Tunyawaj Kamolwongwat,Tunyawaj Kamolwongwat,≤100,2
129602281218084,Pongwat T. - ผู้สมัคร สส กทม เขต 6 พรรคเสรีรวมไทย,Pongwat Tunnukul,≤100,2
256562988507540,Like Anutin,Like Anutin,≤100,1
103986582301984,เนื้อ นา บุญ,Phrathanakrit Upachai,≤100,2
480222865705980,สรรเพชญ บุญญามณี,สรรเพชญ บุญญามณี,≤100,1
107541811520957,ตราตรึง Tratung -  ของแต่งบ้านดีไซน์เก๋,These ads ran without a disclaimer,≤100,1
114914794432449,กฎหมายใช้สอบราชการ by Æ+,กฎหมายใช้สอบราชการ by Æ+,≤100,1
105711950893323,The Modernist,บริษัท โอพีเนียน มีเดีย จำกัด,≤100,1
102662962071319,สงขลาบ้านเรา,สงขลาบ้านเรา,≤100,1
111020164096996,ธัญธร ธนินวัฒนาธร - Thanyathorn Dhaninwattanathorn,ธัญธร ธนินวัฒนาธร - Thanyathorn Dhaninwattanathorn,≤100,1
112115945016340,เบส ณัฐศักดิ์ หงษ์ทอง - Nattasak hongtong,ณัฐศักดิ์ หงษ์ทอง,≤100,1
253854767968462,Asia Research News,These ads ran without a disclaimer,≤100,1
110256398069518,พิมพ์กาญจน์ กีรติวิราปกรณ์ - Pimkarn Kiratiwirapakorn,Pimkarn Kiratiwirapakorn,≤100,1
110144991464196,กรอบลอยไวนิล แคนวาส บอร์ดไดคัท 99 บาท มีเก็บปลายทาง,Sakawtip Utha,≤100,1
294518014039555,With Love by Jamsai,These ads ran without a disclaimer,≤100,1
100298682713615,เสื้อวินเทจ ลายมัน ผ้าดำ,เสื้อวินเทจ ลายมัน ผ้าดำ,≤100,1
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
104224665030349,สุราษฎร์ต้องไปต่อ Go To The Future,ศิวัตม์ ใจเอื้อ,≤100,1
113954228165234,Thanks Vintage,These ads ran without a disclaimer,≤100,3
